Analizador lexico:
LexToken(CLASS,'class',15,54)
LexToken(CONSTANT,'TodoList',15,60)
LexToken(DEF,'def',16,73)
LexToken(LOCAL_VAR,'initialize',16,77)
LexToken(INSTANCE_VAR,'@tasks',17,94)
LexToken(END,'end',18,110)
LexToken(DEF,'def',21,162)
LexToken(LOCAL_VAR,'add_task',21,166)
LexToken(LOCAL_VAR,'description',21,175)
LexToken(LOCAL_VAR,'task',22,194)
LexToken(LOCAL_VAR,'description',22,203)
LexToken(LOCAL_VAR,'description',22,216)
LexToken(LOCAL_VAR,'completed',22,229)
LexToken(LOCAL_VAR,'false',22,240)
LexToken(INSTANCE_VAR,'@tasks',23,254)
LexToken(LOCAL_VAR,'task',23,264)
LexToken(LOCAL_VAR,'puts',24,275)
LexToken(CONSTANT,'Tarea',24,281)
LexToken(END,'end',25,329)
LexToken(DEF,'def',28,379)
LexToken(LOCAL_VAR,'complete_task',28,383)
LexToken(LOCAL_VAR,'index',28,397)
LexToken(IF,'if',29,410)
LexToken(LOCAL_VAR,'index',29,413)
LexToken(LOCAL_VAR,'index',29,426)
LexToken(INSTANCE_VAR,'@tasks',29,435)
LexToken(LOCAL_VAR,'length',29,442)
LexToken(LOCAL_VAR,'puts',30,457)
LexToken(LOCAL_VAR,'ndice',30,464)
LexToken(LOCAL_VAR,'fuera',30,470)
LexToken(LOCAL_VAR,'de',30,476)
LexToken(LOCAL_VAR,'rango',30,479)
LexToken(ELSE,'else',31,492)
LexToken(INSTANCE_VAR,'@tasks',32,505)
LexToken(LOCAL_VAR,'index',32,512)
LexToken(LOCAL_VAR,'completed',32,520)
LexToken(LOCAL_VAR,'true',32,533)
LexToken(LOCAL_VAR,'puts',33,546)
LexToken(CONSTANT,'Tarea',33,552)
LexToken(END,'end',34,610)
LexToken(END,'end',35,618)
LexToken(DEF,'def',38,666)
LexToken(LOCAL_VAR,'delete_task',38,670)
LexToken(LOCAL_VAR,'index',38,682)
LexToken(IF,'if',39,695)
LexToken(LOCAL_VAR,'index',39,698)
LexToken(LOCAL_VAR,'index',39,711)
LexToken(INSTANCE_VAR,'@tasks',39,720)
LexToken(LOCAL_VAR,'length',39,727)
LexToken(LOCAL_VAR,'puts',40,742)
LexToken(LOCAL_VAR,'ndice',40,749)
LexToken(LOCAL_VAR,'fuera',40,755)
LexToken(LOCAL_VAR,'de',40,761)
LexToken(LOCAL_VAR,'rango',40,764)
LexToken(ELSE,'else',41,777)
LexToken(LOCAL_VAR,'removed_task',42,790)
LexToken(INSTANCE_VAR,'@tasks',42,805)
LexToken(LOCAL_VAR,'delete_at',42,812)
LexToken(LOCAL_VAR,'index',42,822)
LexToken(LOCAL_VAR,'puts',43,837)
LexToken(CONSTANT,'Tarea',43,843)
LexToken(END,'end',44,899)
LexToken(END,'end',45,907)
LexToken(DEF,'def',48,963)
LexToken(LOCAL_VAR,'show_tasks',48,967)
LexToken(LOCAL_VAR,'puts',49,984)
LexToken(CONSTANT,'Lista',49,990)
LexToken(LOCAL_VAR,'de',49,996)
LexToken(CONSTANT,'Tareas',49,999)
LexToken(INSTANCE_VAR,'@tasks',50,1014)
LexToken(LOCAL_VAR,'each_with_index',50,1021)
LexToken(LOCAL_VAR,'do',50,1037)
LexToken(LOCAL_VAR,'task',50,1041)
LexToken(LOCAL_VAR,'index',50,1047)
LexToken(LOCAL_VAR,'status',51,1062)
LexToken(LOCAL_VAR,'task',51,1071)
LexToken(LOCAL_VAR,'completed',51,1077)
LexToken(CONSTANT,'Completada',51,1091)
LexToken(CONSTANT,'Pendiente',51,1106)
LexToken(LOCAL_VAR,'puts',52,1125)
LexToken(END,'end',53,1186)
LexToken(END,'end',54,1194)
LexToken(END,'end',55,1200)
LexToken(LOCAL_VAR,'todo_list',58,1250)
LexToken(CONSTANT,'TodoList',58,1262)
LexToken(LOCAL_VAR,'new',58,1271)
LexToken(LOCAL_VAR,'todo_list',59,1277)
LexToken(LOCAL_VAR,'add_task',59,1287)
LexToken(CONSTANT,'Comprar',59,1297)
LexToken(LOCAL_VAR,'leche',59,1305)
LexToken(LOCAL_VAR,'todo_list',60,1315)
LexToken(LOCAL_VAR,'add_task',60,1325)
LexToken(CONSTANT,'Hacer',60,1335)
LexToken(LOCAL_VAR,'ejercicio',60,1341)
LexToken(LOCAL_VAR,'todo_list',61,1355)
LexToken(LOCAL_VAR,'add_task',61,1365)
LexToken(CONSTANT,'Estudiar',61,1375)
LexToken(CONSTANT,'Ruby',61,1384)
LexToken(LOCAL_VAR,'todo_list',63,1396)
LexToken(LOCAL_VAR,'show_tasks',63,1406)
LexToken(LOCAL_VAR,'todo_list',65,1422)
LexToken(LOCAL_VAR,'complete_task',65,1432)
LexToken(LOCAL_VAR,'todo_list',66,1451)
LexToken(LOCAL_VAR,'show_tasks',66,1461)
LexToken(LOCAL_VAR,'todo_list',68,1477)
LexToken(LOCAL_VAR,'delete_task',68,1487)
LexToken(LOCAL_VAR,'todo_list',69,1504)
LexToken(LOCAL_VAR,'show_tasks',69,1514)
