Analizador lexico:
LexToken(CLASS,'class',56,100)
LexToken(CONSTANT,'TodoList',56,106)
LexToken(DEF,'def',57,119)
LexToken(LOCAL_VAR,'initialize',57,123)
LexToken(INSTANCE_VAR,'@tasks',58,140)
LexToken(ASSIGN,'=',58,147)
LexToken(L_ULTRA_PAREN,'[',58,149)
LexToken(R_ULTRA_PAREN,']',58,150)
LexToken(END,'end',59,156)
LexToken(DEF,'def',62,208)
LexToken(LOCAL_VAR,'add_task',62,212)
LexToken(L_PAREN,'(',62,220)
LexToken(LOCAL_VAR,'description',62,221)
LexToken(R_PAREN,')',62,232)
LexToken(LOCAL_VAR,'task',63,240)
LexToken(ASSIGN,'=',63,245)
LexToken(L_MAYUS_PAREN,'{',63,247)
LexToken(LOCAL_VAR,'description',63,249)
LexToken(TWO_POINTS,':',63,260)
LexToken(LOCAL_VAR,'description',63,262)
LexToken(COMMA,',',63,273)
LexToken(LOCAL_VAR,'completed',63,275)
LexToken(TWO_POINTS,':',63,284)
LexToken(LOCAL_VAR,'false',63,286)
LexToken(R_MAYUS_PAREN,'}',63,292)
LexToken(INSTANCE_VAR,'@tasks',64,300)
LexToken(APPEND,'<<',64,307)
LexToken(LOCAL_VAR,'task',64,310)
LexToken(PUTS,'puts',65,321)
LexToken(STRING,"Tarea '#{description}' añadida a la lista.",65,326)
LexToken(END,'end',66,375)
LexToken(DEF,'def',69,425)
LexToken(LOCAL_VAR,'complete_task',69,429)
LexToken(L_PAREN,'(',69,442)
LexToken(LOCAL_VAR,'index',69,443)
LexToken(R_PAREN,')',69,448)
LexToken(IF,'if',70,456)
LexToken(LOCAL_VAR,'index',70,459)
LexToken(LESS,'<',70,465)
LexToken(INTEGER,0,70,467)
LexToken(OR_OPERATOR,'||',70,469)
LexToken(LOCAL_VAR,'index',70,472)
LexToken(GREATER_EQUAL,'>=',70,478)
LexToken(INSTANCE_VAR,'@tasks',70,481)
LexToken(DOT,'.',70,487)
LexToken(LOCAL_VAR,'length',70,488)
LexToken(PUTS,'puts',71,503)
LexToken(STRING,'Índice fuera de rango',71,508)
LexToken(ELSE,'else',72,538)
LexToken(INSTANCE_VAR,'@tasks',73,551)
LexToken(L_ULTRA_PAREN,'[',73,557)
LexToken(LOCAL_VAR,'index',73,558)
LexToken(R_ULTRA_PAREN,']',73,563)
LexToken(L_ULTRA_PAREN,'[',73,564)
LexToken(TWO_POINTS,':',73,565)
LexToken(LOCAL_VAR,'completed',73,566)
LexToken(R_ULTRA_PAREN,']',73,575)
LexToken(ASSIGN,'=',73,577)
LexToken(LOCAL_VAR,'true',73,579)
LexToken(PUTS,'puts',74,592)
LexToken(STRING,"Tarea '#{@tasks[index][:description]}' completada.",74,597)
LexToken(END,'end',75,656)
LexToken(END,'end',76,664)
LexToken(DEF,'def',79,712)
LexToken(LOCAL_VAR,'delete_task',79,716)
LexToken(L_PAREN,'(',79,727)
LexToken(LOCAL_VAR,'index',79,728)
LexToken(R_PAREN,')',79,733)
LexToken(IF,'if',80,741)
LexToken(LOCAL_VAR,'index',80,744)
LexToken(LESS,'<',80,750)
LexToken(INTEGER,0,80,752)
LexToken(OR_OPERATOR,'||',80,754)
LexToken(LOCAL_VAR,'index',80,757)
LexToken(GREATER_EQUAL,'>=',80,763)
LexToken(INSTANCE_VAR,'@tasks',80,766)
LexToken(DOT,'.',80,772)
LexToken(LOCAL_VAR,'length',80,773)
LexToken(PUTS,'puts',81,788)
LexToken(STRING,'Índice fuera de rango',81,793)
LexToken(ELSE,'else',82,823)
LexToken(LOCAL_VAR,'removed_task',83,836)
LexToken(ASSIGN,'=',83,849)
LexToken(INSTANCE_VAR,'@tasks',83,851)
LexToken(DOT,'.',83,857)
LexToken(LOCAL_VAR,'delete_at',83,858)
LexToken(L_PAREN,'(',83,867)
