Analizador lexico:
LexToken(CLASS,'class',157,0)
LexToken(CONSTANT,'TodoList',157,6)
LexToken(DEF,'def',158,19)
LexToken(LOCAL_VAR,'initialize',158,23)
LexToken(INSTANCE_VAR,'@tasks',159,40)
LexToken(ASSIGN,'=',159,47)
LexToken(L_ULTRA_PAREN,'[',159,49)
LexToken(R_ULTRA_PAREN,']',159,50)
LexToken(END,'end',160,56)
LexToken(DEF,'def',163,108)
LexToken(LOCAL_VAR,'add_task',163,112)
LexToken(L_PAREN,'(',163,120)
LexToken(LOCAL_VAR,'description',163,121)
LexToken(R_PAREN,')',163,132)
LexToken(LOCAL_VAR,'task',164,140)
LexToken(ASSIGN,'=',164,145)
LexToken(L_MAYUS_PAREN,'{',164,147)
LexToken(LOCAL_VAR,'description',164,149)
LexToken(TWO_POINTS,':',164,160)
LexToken(LOCAL_VAR,'description',164,162)
LexToken(COMMA,',',164,173)
LexToken(LOCAL_VAR,'completed',164,175)
LexToken(TWO_POINTS,':',164,184)
LexToken(LOCAL_VAR,'false',164,186)
LexToken(R_MAYUS_PAREN,'}',164,192)
LexToken(INSTANCE_VAR,'@tasks',165,200)
LexToken(LESS,'<',165,207)
LexToken(LESS,'<',165,208)
LexToken(LOCAL_VAR,'task',165,210)
LexToken(PUTS,'puts',166,221)
LexToken(STRING,"Tarea '#{description}' añadida a la lista.",166,226)
LexToken(END,'end',167,275)
LexToken(DEF,'def',170,325)
LexToken(LOCAL_VAR,'complete_task',170,329)
LexToken(L_PAREN,'(',170,342)
LexToken(LOCAL_VAR,'index',170,343)
LexToken(R_PAREN,')',170,348)
LexToken(IF,'if',171,356)
LexToken(LOCAL_VAR,'index',171,359)
LexToken(LESS,'<',171,365)
LexToken(INTEGER,0,171,367)
LexToken(LOCAL_VAR,'index',171,372)
LexToken(GREATER_EQUAL,'>=',171,378)
LexToken(INSTANCE_VAR,'@tasks',171,381)
LexToken(DOT,'.',171,387)
LexToken(LOCAL_VAR,'length',171,388)
LexToken(PUTS,'puts',172,403)
LexToken(STRING,'Índice fuera de rango',172,408)
LexToken(ELSE,'else',173,438)
LexToken(INSTANCE_VAR,'@tasks',174,451)
LexToken(L_ULTRA_PAREN,'[',174,457)
LexToken(LOCAL_VAR,'index',174,458)
LexToken(R_ULTRA_PAREN,']',174,463)
LexToken(L_ULTRA_PAREN,'[',174,464)
LexToken(TWO_POINTS,':',174,465)
LexToken(LOCAL_VAR,'completed',174,466)
LexToken(R_ULTRA_PAREN,']',174,475)
LexToken(ASSIGN,'=',174,477)
LexToken(LOCAL_VAR,'true',174,479)
LexToken(PUTS,'puts',175,492)
LexToken(STRING,"Tarea '#{@tasks[index][:description]}' completada.",175,497)
LexToken(END,'end',176,556)
LexToken(END,'end',177,564)
LexToken(DEF,'def',180,612)
LexToken(LOCAL_VAR,'delete_task',180,616)
LexToken(L_PAREN,'(',180,627)
LexToken(LOCAL_VAR,'index',180,628)
LexToken(R_PAREN,')',180,633)
LexToken(IF,'if',181,641)
LexToken(LOCAL_VAR,'index',181,644)
LexToken(LESS,'<',181,650)
LexToken(INTEGER,0,181,652)
LexToken(LOCAL_VAR,'index',181,657)
LexToken(GREATER_EQUAL,'>=',181,663)
LexToken(INSTANCE_VAR,'@tasks',181,666)
LexToken(DOT,'.',181,672)
LexToken(LOCAL_VAR,'length',181,673)
LexToken(PUTS,'puts',182,688)
LexToken(STRING,'Índice fuera de rango',182,693)
LexToken(ELSE,'else',183,723)
LexToken(LOCAL_VAR,'removed_task',184,736)
LexToken(ASSIGN,'=',184,749)
LexToken(INSTANCE_VAR,'@tasks',184,751)
LexToken(DOT,'.',184,757)
LexToken(LOCAL_VAR,'delete_at',184,758)
LexToken(L_PAREN,'(',184,767)
LexToken(LOCAL_VAR,'index',184,768)
LexToken(R_PAREN,')',184,773)
LexToken(PUTS,'puts',185,783)
LexToken(STRING,"Tarea '#{removed_task[:description]}' eliminada.",185,788)
LexToken(END,'end',186,845)
LexToken(END,'end',187,853)
LexToken(DEF,'def',190,909)
LexToken(LOCAL_VAR,'show_tasks',190,913)
LexToken(PUTS,'puts',191,930)
LexToken(STRING,'Lista de Tareas:',191,935)
LexToken(INSTANCE_VAR,'@tasks',192,960)
LexToken(DOT,'.',192,966)
LexToken(LOCAL_VAR,'each_with_index',192,967)
